location,city,bedrooms,bathrooms,property_type,price_pkr,size_sqft,days_since_listed,price_per_sqft,log_price,size_category,city_encoded,property_type_encoded
"Central Park - Block Bb, Central Park Housing Scheme",Lahore,3,4,House,21500000.0,1125.0,0.125,19111.11111111111,16.88356353960952,Medium,3,1
"Sui Gas Society Phase 1 - Block F, Sui Gas Society Phase 1",Lahore,6,6,House,67500000.0,4500.0,0.125,15000.0,18.02763817065757,Large,3,1
"Al Haram Garden - Block C, Al Haram Garden",Lahore,3,4,House,8800000.0,675.0,0.125,13037.037037037036,15.990262393084793,Medium,3,1
"Central Park Housing Scheme, Lahore",Lahore,5,6,House,33000000.0,2250.0,0.16666666666666666,14666.666666666666,17.312018149733785,Large,3,1
"Uet Housing Society, Lahore",Lahore,5,6,House,39000000.0,2250.0,0.025694444444444447,17333.333333333332,17.479072229734946,Large,3,1
"Uet Housing Society, Lahore",Lahore,5,6,House,41500000.0,2250.0,0.025694444444444447,18444.444444444445,17.541204009297314,Large,3,1
"Bismillah Housing Scheme - Iqbal Block, Bismillah Housing Scheme",Lahore,4,5,House,23000000.0,1125.0,0.0125,20444.444444444445,16.951004817371683,Medium,3,1
"Valencia Housing Society, Lahore",Lahore,7,6,House,66000000.0,4500.0,0.013194444444444444,14666.666666666666,18.005165315142214,Large,3,1
"Central Park - Block Bb, Central Park Housing Scheme",Lahore,4,4,House,24000000.0,1125.0,0.01388888888888889,21333.333333333332,16.993564429978885,Medium,3,1
"Allama Iqbal Town, Lahore",Lahore,4,4,House,47500000.0,2250.0,0.01388888888888889,21111.11111111111,17.6762402900575,Large,3,1
"Central Park - Block B, Central Park Housing Scheme",Lahore,4,4,House,24500000.0,1125.0,0.019444444444444445,21777.777777777777,17.01418371633128,Medium,3,1
"Allama Iqbal Town, Lahore",Lahore,5,5,House,49000000.0,2250.0,0.005555555555555556,21777.777777777777,17.707330876483063,Large,3,1
"Dha Phase 5 - Block C, Dha Phase 5",Lahore,6,7,House,100000000.0,4500.0,0.005555555555555556,22222.222222222223,18.420680753952364,Large,3,1
"Dha Phase 3 - Block Xx, Dha Phase 3",Lahore,6,6,House,82500000.0,4500.0,0.005555555555555556,18333.333333333332,18.228308863426122,Large,3,1
"Dha Phase 6 - Block G, Dha Phase 6",Lahore,6,6,House,82500000.0,4500.0,0.005555555555555556,18333.333333333332,18.228308863426122,Large,3,1
"Dha Phase 6 - Block B, Dha Phase 6",Lahore,5,6,House,91000000.0,4500.0,0.00625,20222.222222222223,18.326370075470134,Large,3,1
"Dha Phase 7, Dha Defence",Lahore,6,6,House,73200000.0,4500.0,0.00625,16266.666666666666,18.108705992592743,Large,3,1
"Defence Raya, Dha Defence",Lahore,5,6,House,145000000.0,4500.0,0.041666666666666664,32222.222222222223,18.7922443072814,Large,3,1
"Lake City - Sector M-7, Lake City",Lahore,3,2,House,32000000.0,2250.0,0.08333333333333333,14222.222222222223,17.281246492014,Large,3,1
"Lake City Meadows, Lahore",Lahore,5,6,House,72500000.0,4500.0,0.08333333333333333,16111.111111111111,18.099097133618006,Large,3,1
"Dha 9 Town, Dha Defence",Lahore,3,4,House,22500000.0,1125.0,0.08333333333333333,20000.0,16.929025911619092,Medium,3,1
"Dha Phase 6, Dha Defence",Lahore,4,5,House,59000000.0,2250.0,0.20833333333333331,26222.222222222223,17.893048018819147,Large,3,1
"Sabzazar Scheme, Lahore",Lahore,5,5,House,46500000.0,2250.0,0.41666666666666663,20666.666666666668,17.65496289206296,Large,3,1
"Dha 9 Town, Dha Defence",Lahore,3,4,House,23200000.0,1125.0,0.02847222222222222,20622.222222222223,16.959662879739987,Medium,3,1
"Bahria Town - Sector E, Bahria Town",Lahore,3,5,House,18000000.0,1125.0,0.03333333333333333,16000.0,16.705882371415992,Medium,3,1
"Johar Town, Lahore",Lahore,3,4,House,23000000.0,1125.0,0.021527777777777778,20444.444444444445,16.951004817371683,Medium,3,1
"Iep Engineers Town - Sector A, Iep Engineers Town",Lahore,6,6,House,38500000.0,2250.0,0.022222222222222223,17111.11111111111,17.46616882523204,Large,3,1
"Nespak Scheme Phase 3, Defence Road",Lahore,5,6,House,41500000.0,2250.0,0.02777777777777778,18444.444444444445,17.541204009297314,Large,3,1
"Dha 9 Town, Dha Defence",Lahore,3,3,House,21900000.0,1125.0,0.02847222222222222,19466.666666666668,16.90199724044883,Medium,3,1
"Park View City - Jade Extension Block, Park View City",Lahore,4,5,House,21500000.0,1125.0,0.029166666666666667,19111.11111111111,16.88356353960952,Medium,3,1
"Park View City, Lahore",Lahore,4,5,House,16000000.0,1125.0,0.006944444444444445,14222.222222222223,16.588099342704055,Medium,3,1
"Dha 9 Town, Dha Defence",Lahore,4,5,House,45000000.0,1800.0,0.009027777777777779,25000.0,17.622173069956816,Medium,3,1
"Dha Phase 7 - Block Y, Dha Phase 7",Lahore,6,7,House,77000000.0,4500.0,0.010416666666666668,17111.11111111111,18.15931599280497,Large,3,1
"Al-Ahmad Garden Housing Scheme, Gt Road",Lahore,4,5,House,19000000.0,1125.0,0.011111111111111112,16888.88888888889,16.759949589762293,Medium,3,1
"Park View City, Lahore",Lahore,5,6,House,31500000.0,2250.0,0.011111111111111112,14000.0,17.265498135541893,Large,3,1
"Park View City, Lahore",Lahore,4,5,House,15000000.0,1125.0,0.011111111111111112,13333.333333333334,16.52356082573315,Medium,3,1
"Dha Phase 7, Dha Defence",Lahore,3,4,House,24000000.0,1125.0,0.011805555555555555,21333.333333333332,16.993564429978885,Medium,3,1
"Lake City, Raiwind Road",Lahore,6,7,House,53000000.0,2250.0,0.08333333333333333,23555.555555555555,17.78580249038432,Large,3,1
"Lake City - Sector M-7, Lake City",Lahore,4,5,House,37400000.0,2250.0,0.125,16622.222222222223,17.437181289122726,Large,3,1
"Lake City - Sector M7 - Block A, Lake City - Sector M-7",Lahore,6,6,House,43500000.0,1575.0,0.125,27619.04761904762,17.588271519047417,Medium,3,1
"Midway Commercial, Bahria Town",Lahore,2,2,House,4000000.0,652.5,0.125,6130.268199233717,15.201805169084134,Medium,3,1
"Dha Phase 7 - Block R, Dha Phase 7",Lahore,5,6,House,72200000.0,4500.0,0.125,16044.444444444445,18.09495061771347,Large,3,1
"Qazi Town, Lahore",Lahore,3,3,House,9000000.0,450.0,0.41666666666666663,20000.0,16.012735246411598,Small,3,1
"Dha Phase 7, Dha Defence",Lahore,5,6,House,109900000.0,4500.0,0.4583333333333333,24422.222222222223,18.51508142847303,Large,3,1
"Dha Phase 8 - Block V, Dha Phase 8",Lahore,5,6,House,115000000.0,4500.0,0.4583333333333333,25555.555555555555,18.560442695023177,Large,3,1
"Dha 9 Town, Dha Defence",Lahore,4,5,House,29000000.0,1125.0,0.4583333333333333,25777.777777777777,17.182806422433504,Medium,3,1
"Dha Phase 6 - Block N, Dha Phase 6",Lahore,6,6,House,77500000.0,4500.0,0.041666666666666664,17222.222222222223,18.1657885072268,Large,3,1
"Lake City, Raiwind Road",Lahore,5,6,House,97500000.0,4500.0,0.041666666666666664,21666.666666666668,18.395362946224484,Large,3,1
"Al Hafeez Garden - Phase 5, Al Hafeez Gardens",Lahore,3,4,House,17000000.0,675.0,0.030555555555555558,25185.185185185186,16.648723960844016,Medium,3,1
"Khayaban-E-Amin - Block L, Khayaban-E-Amin",Lahore,3,3,House,16800000.0,1125.0,0.030555555555555558,14933.333333333334,16.636889503897294,Medium,3,1
"Valencia Housing Society, Lahore",Lahore,7,6,House,70000000.0,4500.0,0.03194444444444445,15555.555555555555,18.064005814299346,Large,3,1
"Al Hafeez Garden - Phase 2, Main Canal Bank Road",Lahore,3,4,House,13100000.0,675.0,0.034722222222222224,19407.40740740741,16.388122864507256,Medium,3,1
"Paragon City - Orchard Block, Paragon City",Lahore,1,1,House,7200000.0,630.0,0.03819444444444445,11428.57142857143,15.789591722875162,Medium,3,1
"Ghous Garden - Phase 4, Ghous Garden",Lahore,4,2,House,13000000.0,675.0,0.0125,19259.25925925926,16.380459992348886,Medium,3,1
"Dha Phase 6 - Block C, Dha Phase 6",Lahore,6,7,House,89500000.0,4500.0,0.013194444444444444,19888.88888888889,18.309749194418266,Large,3,1
"Al-Ahmad Garden Housing Scheme, Gt Road",Lahore,3,4,House,13000000.0,675.0,0.013194444444444444,19259.25925925926,16.380459992348886,Medium,3,1
"Dha Phase 6 - Block J, Dha Phase 6",Lahore,5,7,House,95000000.0,4500.0,0.013194444444444444,21111.11111111111,18.36938746009113,Large,3,1
"Bismillah Housing Scheme, Gt Road",Lahore,3,4,House,13000000.0,675.0,0.013194444444444444,19259.25925925926,16.380459992348886,Medium,3,1
"Park View City, Lahore",Lahore,4,5,House,17000000.0,1125.0,0.01388888888888889,15111.111111111111,16.648723960844016,Medium,3,1
"Park View City, Lahore",Lahore,4,5,House,15000000.0,1125.0,0.01388888888888889,13333.333333333334,16.52356082573315,Medium,3,1
"Park View City, Lahore",Lahore,5,6,House,31000000.0,2250.0,0.01388888888888889,13777.777777777777,17.249497794707484,Large,3,1
"Dha 11 Rahbar Phase 2, Dha 11 Rahbar",Lahore,3,4,House,23000000.0,1125.0,0.125,20444.444444444445,16.951004817371683,Medium,3,1
"Valencia Housing Society, Lahore",Lahore,5,6,House,81000000.0,4500.0,0.16666666666666666,18000.0,18.20995972498239,Large,3,1
"Opf Housing Scheme, Lahore",Lahore,6,6,House,65500000.0,4500.0,0.16666666666666666,14555.555555555555,17.997560715872655,Large,3,1
"Dha Phase 7, Dha Defence",Lahore,5,6,House,69500000.0,4500.0,0.6666666666666666,15444.444444444445,18.05683732492351,Large,3,1
"Dha Phase 6, Dha Defence",Lahore,6,7,House,90000000.0,4500.0,0.6666666666666666,20000.0,18.31532023940565,Large,3,1
"Dha 9 Town, Dha Defence",Lahore,3,4,House,32000000.0,1125.0,0.4583333333333333,28444.444444444445,17.281246492014,Medium,3,1
"Dha Phase 8 - Ex Air Avenue, Dha Phase 8",Lahore,4,5,House,49500000.0,2250.0,0.4583333333333333,22000.0,17.71748324774094,Large,3,1
"Dha Phase 6 - Block L, Dha Phase 6",Lahore,5,6,House,111500000.0,4500.0,0.4583333333333333,24777.777777777777,18.529535157833056,Large,3,1
"Dha Phase 6 - Block A, Dha Phase 6",Lahore,4,5,House,51200000.0,2250.0,0.041666666666666664,22755.555555555555,17.751250109540987,Large,3,1
"Nfc 1, Lahore",Lahore,6,6,House,65000000.0,4500.0,0.041666666666666664,14444.444444444445,17.989897843244528,Large,3,1
"Askari 11 - Sector B Apartments, Askari 11",Lahore,3,3,House,25900000.0,2250.0,0.04027777777777778,11511.111111111111,17.069753565279804,Large,3,1
"Askari 11, Askari",Lahore,5,5,House,52500000.0,2250.0,0.04027777777777778,23333.333333333332,17.77632374660947,Large,3,1
"Pak Arab Housing Society Phase 1, Pak Arab Housing Society",Lahore,3,4,House,13500000.0,675.0,0.041666666666666664,20000.0,16.41820031748273,Medium,3,1
"Architects Engineers Housing Society, Lahore",Lahore,5,6,House,41000000.0,2250.0,0.017361111111111112,18222.222222222223,17.529082649058825,Large,3,1
"Low Cost - Block C, Low Cost Sector",Lahore,5,6,House,24000000.0,1800.0,0.017361111111111112,13333.333333333334,16.993564429978885,Medium,3,1
"Bahria Homes, Bahria Town - Sector E",Lahore,3,4,House,18500000.0,1372.5,0.018055555555555557,13479.052823315118,16.733281344102608,Medium,3,1
"Bahria Town - Jinnah Block, Bahria Town - Sector E",Lahore,3,4,House,21000000.0,1125.0,0.018055555555555557,18666.666666666668,16.860033043306743,Medium,3,1
"Bahria Town - Block Cc, Bahria Town - Sector D",Lahore,3,4,House,23400000.0,1125.0,0.01875,20800.0,16.96824662306297,Medium,3,1
"Dha Phase 7, Dha Defence",Lahore,3,4,House,23000000.0,1125.0,0.01875,20444.444444444445,16.951004817371683,Medium,3,1
"Lda Avenue - Block G, Lda Avenue",Lahore,5,5,House,28000000.0,2250.0,0.01875,12444.444444444445,17.147715103853763,Large,3,1
"Al Rehman Garden Phase 2, Al Rehman Garden",Lahore,6,6,House,35000000.0,2250.0,0.8333333333333333,15555.555555555555,17.370858648025116,Large,3,1
"Dha Phase 6 - Block C, Dha Phase 6",Lahore,5,6,House,79500000.0,4500.0,0.875,17666.666666666668,18.191267592203175,Large,3,1
"Pak Arab Housing Society, Lahore",Lahore,3,4,House,28000000.0,1125.0,0.5416666666666666,24888.88888888889,17.147715103853763,Medium,3,1
"Valencia - Block B, Valencia Housing Society",Lahore,5,5,House,85000000.0,4500.0,0.5416666666666666,18888.88888888889,18.258161826219297,Large,3,1
"Pgechs Phase 2, Punjab Govt Employees Society",Lahore,7,6,House,55000000.0,4500.0,0.041666666666666664,12222.222222222223,17.822843761378564,Large,3,1
"Al Rehman Garden Phase 2, Al Rehman Garden",Lahore,5,6,House,22500000.0,1125.0,0.041666666666666664,20000.0,16.929025911619092,Medium,3,1
"Vital Homes Dd, Vital Homes Housing Scheme",Lahore,3,3,House,13000000.0,675.0,0.041666666666666664,19259.25925925926,16.380459992348886,Medium,3,1
"Tariq Gardens, Lahore",Lahore,6,6,House,65000000.0,4500.0,0.041666666666666664,14444.444444444445,17.989897843244528,Large,3,1
"Bahria Orchard, Lahore",Lahore,3,3,House,27000000.0,1125.0,0.041666666666666664,24000.0,17.11134746100564,Medium,3,1
"Low Cost - Block C, Low Cost Sector",Lahore,3,4,House,20000000.0,1125.0,0.041666666666666664,17777.777777777777,16.811242881518265,Medium,3,1
"Bahria Town - Nargis Block, Bahria Town - Sector C",Lahore,5,6,House,41000000.0,2250.0,0.01875,18222.222222222223,17.529082649058825,Large,3,1
"Dha Phase 6 - Block D, Dha Phase 6",Lahore,5,6,House,87500000.0,4500.0,0.019444444444444445,19444.444444444445,18.287149362756413,Large,3,1
"Bahria Town - Safari Villas, Bahria Town - Sector B",Lahore,3,4,House,20500000.0,1800.0,0.019444444444444445,11388.888888888889,16.835935492889124,Medium,3,1
"Bahria Town - Block Bb, Bahria Town - Sector D",Lahore,3,4,House,19500000.0,1125.0,0.019444444444444445,17333.333333333332,16.785925074816024,Medium,3,1
"Bahria Town - Jinnah Block, Bahria Town - Sector E",Lahore,3,4,House,22000000.0,1125.0,0.019444444444444445,19555.555555555555,16.906553056777135,Medium,3,1
"Bahria Town - Sector E, Bahria Town",Lahore,1,1,House,7500000.0,517.5,0.019444444444444445,14492.753623188406,15.830413711839864,Medium,3,1
"Dha Phase 8, Dha Defence",Lahore,5,6,House,82500000.0,4500.0,0.019444444444444445,18333.333333333332,18.228308863426122,Large,3,1
"Dawood Residency - Abubakar Block, Dawood Residency Housing Scheme",Lahore,4,5,House,19000000.0,1125.0,0.02013888888888889,16888.88888888889,16.759949589762293,Medium,3,1
"Dha 9 Town - Block C, Dha 9 Town",Lahore,3,4,House,29900000.000000004,1125.0,0.9166666666666666,26577.77777777778,17.21336907180573,Medium,3,1
"Dha Phase 6, Dha Defence",Lahore,6,6,House,95000000.0,4500.0,0.9166666666666666,21111.11111111111,18.36938746009113,Large,3,1
"Dha 9 Town, Dha Defence",Lahore,3,3,House,25000000.0,1125.0,0.9583333333333333,22222.222222222223,17.034386422832473,Medium,3,1
"Dha 9 Town, Dha Defence",Lahore,3,4,House,22799999.999999996,1125.0,0.9583333333333333,20266.666666666664,16.942271137784317,Medium,3,1
"Dha Phase 7, Dha Defence",Lahore,5,6,House,72700000.0,4500.0,1.0,16155.555555555555,18.101851956258905,Large,3,1
"Township - Sector B2, Township",Lahore,7,6,House,40000000.0,2250.0,0.625,17777.777777777777,17.50439003707821,Large,3,1
"Bahria Town - Sector C, Bahria Town",Lahore,3,4,House,25000000.0,1125.0,0.6666666666666666,22222.222222222223,17.034386422832473,Medium,3,1
"Al-Kabir Phase 2 - Block C, Al-Kabir Town - Phase 2",Lahore,4,4,House,15500000.0,675.0,0.6666666666666666,22962.962962962964,16.5563506464056,Medium,3,1
"Al-Kabir Town - Phase 2, Al-Kabir Town",Lahore,4,5,House,19000000.0,787.5,0.7083333333333333,24126.984126984127,16.759949589762293,Medium,3,1
"Al-Kabir Phase 2 - Block C, Al-Kabir Town - Phase 2",Lahore,4,4,House,17000000.0,675.0,0.7083333333333333,25185.185185185186,16.648723960844016,Medium,3,1
"Al Rehman Garden Phase 2, Al Rehman Garden",Lahore,5,6,House,23000000.0,1350.0,0.041666666666666664,17037.037037037036,16.951004817371683,Medium,3,1
"Dha 9 Town, Dha Defence",Lahore,3,4,House,19000000.0,1125.0,0.041666666666666664,16888.88888888889,16.759949589762293,Medium,3,1
"Yateem Khana Chowk, Multan Road",Lahore,5,5,House,39000000.0,2295.0,0.041666666666666664,16993.46405228758,17.479072229734946,Large,3,1
"Olc - Block A, Overseas Low Cost",Lahore,3,4,House,17500000.0,1125.0,0.041666666666666664,15555.555555555555,16.677711496036597,Medium,3,1
"Central Park Housing Scheme, Lahore",Lahore,3,3,House,25500000.0,2250.0,0.08333333333333333,11333.333333333334,17.05418904934434,Large,3,1
"Dha Phase 7 - Block Q, Dha Phase 7",Lahore,5,7,House,62500000.0,4500.0,0.021527777777777778,13888.888888888889,17.95067713070663,Large,3,1
"Johar Town, Lahore",Lahore,5,6,House,37000000.0,2250.0,0.022222222222222223,16444.444444444445,17.426428497635523,Large,3,1
"Lda Avenue, Lahore",Lahore,6,6,House,42500000.0,2250.0,0.022222222222222223,18888.88888888889,17.565014657424058,Large,3,1
"Johar Town Phase 2, Johar Town",Lahore,5,6,House,27000000.0,1125.0,0.022222222222222223,24000.0,17.11134746100564,Medium,3,1
"Dha Phase 6, Dha Defence",Lahore,5,6,House,123500000.0,4500.0,0.022222222222222223,27444.444444444445,18.631751722129472,Large,3,1
"Johar Town, Lahore",Lahore,7,6,House,63500000.0,2700.0,0.02291666666666667,23518.51851851852,17.96655047961095,Large,3,1
"Johar Town, Lahore",Lahore,6,6,House,51500000.0,2250.0,1.0,22888.88888888889,17.75709238505144,Large,3,1
"Johar Town, Lahore",Lahore,7,7,House,72500000.0,4500.0,1.0,16111.111111111111,18.099097133618006,Large,3,1
"Johar Town Phase 1, Johar Town",Lahore,6,7,House,33500000.0,1687.5,1.0,19851.85185185185,17.32705602664604,Medium,3,1
