location,city,bedrooms,bathrooms,price_pkr,size_sqft,price_per_sqft,log_price,days_since_listed,society_type,dha_phase,isb_sector_tier,is_premium_area,phase_number
"Bankers Housing Society - Block C, Bankers Co-Operative Housing Society",Lahore,5.0,6.0,23600000.0,1125.0,20977.777777777777,16.97675731236872,0.9166666666666666,Other,0,0,0,0
"Bahria Town - Sector C, Bahria Town",Lahore,5.0,5.0,35000000.0,2250.0,15555.555555555555,17.370858648025116,0.9583333333333333,Bahria,0,0,0,0
"Bahria Town - Sector E, Bahria Town",Lahore,3.0,4.0,19000000.0,1125.0,16888.88888888889,16.759949589762293,0.9583333333333333,Bahria,0,0,0,0
"Bankers Avenue Cooperative Housing Society, Lahore",Lahore,3.0,4.0,21000000.0,1125.0,18666.666666666668,16.860033043306743,0.041666666666666664,Other,0,0,0,0
"Bankers Avenue Cooperative Housing Society, Lahore",Lahore,3.0,4.0,19500000.0,1125.0,17333.333333333332,16.785925074816024,0.041666666666666664,Other,0,0,0,0
"Penta Square By Dha Lahore, Dha Phase 5",Lahore,3.0,3.0,50000000.0,1732.5,28860.02886002886,17.72753358339242,0.08333333333333333,DHA,5,0,1,5
"Dha Phase 3 - Block Xx, Dha Phase 3",Lahore,5.0,5.0,135000000.0,4500.0,30000.0,18.72078534381011,0.08333333333333333,DHA,3,0,0,3
"Mohlanwal, Lahore",Lahore,4.0,3.0,9990000.0,900.0,11100.0,16.11709525072483,0.08333333333333333,Other,0,0,0,0
"Park View City, Lahore",Lahore,4.0,4.0,18000000.0,1125.0,16000.0,16.705882371415992,0.02638888888888889,Private,0,0,0,0
"Park View City, Lahore",Lahore,4.0,4.0,14500000.0,1125.0,12888.888888888889,16.489659276356317,0.027083333333333334,Private,0,0,0,0
"Park View City - Tulip Extension Block, Park View City",Lahore,4.0,5.0,22000000.0,1125.0,19555.555555555555,16.906553056777135,0.02847222222222222,Private,0,0,0,0
"Dha Phase 7, Dha Defence",Lahore,4.0,4.0,48000000.0,2250.0,21333.333333333332,17.6867115897055,0.030555555555555558,DHA,7,0,0,7
"Park View City - Jade Extension Block, Park View City",Lahore,4.0,4.0,19000000.0,1125.0,16888.88888888889,16.759949589762293,0.030555555555555558,Private,0,0,0,0
"Lake City Meadows, Lahore",Lahore,3.0,4.0,21000000.0,1125.0,18666.666666666668,16.860033043306743,0.03194444444444445,Private,0,0,0,0
"Lake City Meadows, Lahore",Lahore,5.0,6.0,40000000.0,2250.0,17777.777777777777,17.50439003707821,0.03194444444444445,Private,0,0,0,0
"Bahria Orchard Phase 2, Bahria Orchard",Lahore,5.0,7.0,21800000.0,1800.0,12111.111111111111,16.897420573630875,1.0,Bahria,0,0,0,2
"Lake City - Sector M7 - Block B, Lake City - Sector M-7",Lahore,3.0,3.0,20400000.0,1125.0,18133.333333333332,16.83104550783405,1.0,Private,0,0,0,0
"Dha Phase 7, Dha Defence",Lahore,5.0,6.0,72500000.0,4500.0,16111.111111111111,18.099097133618006,2.0,DHA,7,0,0,7
"Park View City - Platinum Block, Park View City",Lahore,4.0,4.0,12500000.0,1125.0,11111.111111111111,16.341239282272525,1.0,Private,0,0,0,0
"Jubilee Town, Lahore",Lahore,1.0,1.0,8000000.0,562.5,14222.222222222223,15.894952224644102,1.0,Other,0,0,0,0
"Gulshan-E-Ravi, Lahore",Lahore,5.0,5.0,65000000.0,4500.0,14444.444444444445,17.989897843244528,1.0,Established,0,0,0,0
"Lda Avenue, Lahore",Lahore,6.0,6.0,67500000.0,4500.0,15000.0,18.02763817065757,1.0,Other,0,0,0,0
"Lake City - Sector M-6, Lake City",Lahore,7.0,7.0,60000000.0,2250.0,26666.666666666668,17.909855136853043,1.0,Private,0,0,0,0
"Bankers Avenue Cooperative Housing Society, Lahore",Lahore,3.0,4.0,21500000.0,1125.0,19111.11111111111,16.88356353960952,0.041666666666666664,Other,0,0,0,0
"Green View Housing Society, Multan Road",Lahore,3.0,3.0,9000000.0,675.0,13333.333333333334,16.012735246411598,0.08333333333333333,Other,0,0,0,0
"Mohlanwal, Lahore",Lahore,2.0,2.0,5495000.0,450.0,12211.111111111111,15.519349327803464,0.08333333333333333,Other,0,0,0,0
"Multan Road, Lahore",Lahore,3.0,3.0,9995000.0,675.0,14807.407407407407,16.117595625966658,0.08333333333333333,Other,0,0,0,0
"Aamir Town, Harbanspura",Lahore,4.0,6.0,19000000.0,1125.0,16888.88888888889,16.759949589762293,0.08333333333333333,Other,0,0,0,0
"Dha Phase 5, Dha Defence",Lahore,4.0,5.0,148000000.0,4500.0,32888.88888888889,18.812722838485147,0.08333333333333333,DHA,5,0,1,5
"Park View City, Lahore",Lahore,5.0,6.0,31000000.0,2250.0,13777.777777777777,17.249497794707484,0.03194444444444445,Private,0,0,0,0
"Union Town, Abdul Sattar Edhi Road",Lahore,2.0,2.0,12000000.0,1125.0,10666.666666666666,16.300417291085605,0.03194444444444445,Other,0,0,0,0
"Dha 9 Town, Dha Defence",Lahore,3.0,4.0,30000000.0,1125.0,26666.666666666668,17.216707972959764,0.03402777777777778,DHA,9,0,0,0
"Dha 9 Town, Dha Defence",Lahore,4.0,5.0,55000000.0,1800.0,30555.555555555555,17.822843761378564,0.034722222222222224,DHA,9,0,0,0
